item	nome	imagem	link	descricao	tema	descritores	tipo de recurso	idioma	autores	permissoes	tamanho	versão android	versao app	data revisão	ano	disciplina	
63	Quiz de Português	recursos/img/Mobile/Portugues/9/quizdeportugues.jpg	https://play.google.com/store/apps/details?id=br.estacio.ead.QuizPortLITE	O aplicativo “Quiz de Português” explora os conhecimentos acerca da Fonética, Morfologia, Ortografia, Sintaxe, Semântica, Estilística, Concordância e Regência da Língua Portuguesa, a partir de questões objetivas. O recurso permite ampliar os saberes referentes aos conteúdos gramaticais, além de contribuir para o aprimoramento da escrita.	Gramática. Escrita.	DPII01,DPII11,DPII17,DPII18,DPII19	Exercício e prática.	Português.	Estácio.	Este app não requer permissões especiais para ser executado.	3.4 MB.	4.4 ou superior.	3.0.1.	24/11/2020.	9	Portugues	 
65	Machado de Assis - Livros	recursos/img/Mobile/Portugues/9/machadodeassislivros.jpg	https://play.google.com/store/apps/details?id=it.massis.reader	O aplicativo “Machado de Assis - Livros” traz uma lista de obras completas de um dos mais importantes autores da literatura brasileira, Machado de Assis. O recurso busca auxiliar alunos e professores na pesquisa e na compreensão do estilo de escrita e estrutura da escola literária que pertenceu o autor, por meio do estímulo à leitura.	Leitura. Machado de Assis. Literatura brasileira.	DPII06,DPII10,DPII12,DPII13,DPII15	Livro Digital.	Português.	Midersoft.	Fotos/mídia/arquivos, armazenamento, outros.	3.2 MB.	3.2 ou superior.	1.2.	24/11/2020.	9	Portugues	 
67	Gramática de Bolso - Concursos e Vestibulares 2020	recursos/img/Mobile/Portugues/9/gramaticadebolso.jpg	https://play.google.com/store/apps/details?id=com.gramatica_de_bolso_gsm	O aplicativo “Gramática de Bolso - Concursos e Vestibulares 2020” apresenta um guia sobre diferentes conteúdos da Língua Portuguesa, tais como Fonologia, Morfologia, Sintática, Semântica e Estilística. Além disso, o recurso traz sugestões de links voltados para o estudo da produção textual e para o aprofundamento de temas gramaticais, por meio de videoaulas.	Gramática. Produção textual.	DPII17,DPII18,DPII19	Hipermídia.	Português.	Açaí com Código.	Informações sobre a conexão Wi-Fi, outros.	6.0 MB.	4.4 ou superior.	1.0.3.	24/11/2020.	9	Portugues	 
68	Morfema - Gramática da Língua Portuguesa ENEM	recursos/img/Mobile/Portugues/9/morfema.jpg	https://play.google.com/store/apps/details?id=com.morfema	O aplicativo “Morfema - Gramática da Língua Portuguesa ENEM” apresenta uma compilação de conteúdos de Gramática, Literatura e Interpretação Textual. O recurso permite aprimorar a aprendizagem da norma padrão referente à escrita na Língua Portuguesa.	Gramática. Literatura. Interpretação textual.	DPII17,DPII18,DPII19	Guia de Consulta.	Português.	Morfema.	Outros (Receber dados da Internet, visualizar conexões de rede, acesso total à rede).	3.6 MB.	4.0.3 ou superior.	1.5.	24/11/2020.	9	Portugues	 
69	Frritt-Flacc, de Jules Verne	recursos/img/Mobile/Portugues/9/fritflac.jpg	https://play.google.com/store/apps/details?id=air.com.storymax.frrittflacc	O aplicativo "Frritt-Flacc, de Jules Verne" é um livro interativo que, embora tenha a Biologia como centro de sua narrativa e de suas atividades, trabalha o gênero conto como trajetória de imersão. A leitura engajadora, cheia de interatividade e efeitos de som, que enriquecem a história, convidam os jovens a uma compreensão textual do gênero, utilizando-se, ainda, da interdisciplinaridade.	Leitura. Gênero textual. Conto.	DPII06,DPII10,DPII12	Livro Digital / Animação.	Português.	StoryMax.	Outros (Receber dados da Internet, visualizar conexões de rede, acesso total à rede).	86,02 MB.	4.0 ou superior.	1.6.0.	24/11/2020.	9	Portugues	 
70	Adição e subtração	recursos/img/Mobile/Matematica/1/adicaoesubtracao.jpg	https://play.google.com/store/apps/details?id=kids.juegodesumas&hl=pt-BR	O aplicativo "Adição e subtração” trabalha com a adição e a subtração de numerais, de forma simples e intuitiva.	Adição. Subtração.	DMI17	Exercício e prática.	Português.	Aplity.	Ver conexões e acesso total à rede.	3.2 MB.	5.0 ou superior.	6.	24/11/2020.	1	Matematica	 
71	Crianças Matemática e Números	recursos/img/Mobile/Matematica/1/criancasmatematicaenumeros.jpg	https://play.google.com/store/apps/details?id=air.MusterenGames.Mathforkids&hl=pt-BR	O aplicativo "Crianças Matemática e Números" possui oito atividades diferentes, possibilitando uma maior variedade de exercícios. Dentre eles, aparecem atividades que trabalham com a organização e a sequenciação dos números naturais, as noções de quantidade por meio de gravuras, além da identificação dos numerais e do reconhecimento de aspectos como escrita, agrupamento e adição.	Adição. Sucessor e Antecessor.	DMI14,DMI17	Exercício e prática.	Inglês / Turco / Japonês / Espanhol.	Musteren.	Ver conexões e acesso total à rede.	18 MB.	4.0 ou superior.	1.1.0.	24/11/2020.	1	Matematica	 
72	Matemática Selva: Pré Escola	recursos/img/Mobile/Matematica/1/matematicadaselva.jpg	https://play.google.com/store/apps/details?id=com.LittleBigThinkers.MathJungleK&hl=pt-BR	O aplicativo "Matemática Selva: Pré Escola" trabalha com as noções de quantidade, maior e menor, sequências numéricas de dezenas, bem como as operações de adição e de subtração, estimulando que o aluno associe as quantidades por meio de números e gravuras.	Sequência numérica. Adição. Maior e Menor.	DMI13,DMI14,DMI17	Jogo / Exercício e prática.	Inglês / Português.	Little Big Thinkers.	Não constam especificações sobre as permissões de uso.	38 MB.	2.3 ou superior.	1.0.	24/11/2020.	1	Matematica	 
73	Cores e formas: jogos infantis	recursos/img/Mobile/Matematica/1/coreseformas.jpg	https://play.google.com/store/apps/details?id=com.LanaCristina.LearningColorsAndShapesForToddlers&hl=pt-BR	O aplicativo "Cores e formas: jogos infantis" explora a associação entre as cores e as formas geométricas.	Formas geométricas.	DMI03	Exercício e prática.	Inglês.	Lana Cristina.	Compras no aplicativo/fotos/mídia/ armazenamento de arquivos/ver conexões e acesso total à rede.	Varia de acordo com o dispositivo.	4.0 ou superior.	CFS 1.00.	24/11/2020.	1	Matematica	 
74	Jogos educativos para crianças: formas e contar	recursos/img/Mobile/Matematica/2/jeformasecontar.jpg	https://play.google.com/store/apps/details?id=com.EducaGames.DinoTim&hl=pt-BR	O aplicativo "Jogos educativos para crianças: Formas e contar" trabalha com as operações de adição e de subtração e também busca auxiliar no desenvolvimento da percepção visual, da coordenação e de habilidades motoras. Além disso, o recurso busca estimular o trabalho com as noções de quantidade, por meio de números, gravuras e formas geométricas.	Adição. Subtração. Formas geométricas. Noções de quantidade.	DMI03,DMI17	Jogo / Exercício e prática.	Inglês / Português.	Didactoons Games SL.	Compras no aplicativo.	Varia de acordo com o dispositivo.	Varia de acordo com o dispositivo.	Varia de acordo com o dispositivo.	24/11/2020.	2	Matematica	 
76	Monster Numbers: Jogos de matematica	recursos/img/Mobile/Matematica/2/jematematicatabuada.jpg	https://play.google.com/store/apps/details?id=com.playtic.monsternumbers&hl=pt-BR	O aplicativo "Monster Numbers: Jogos de matematica" busca estimular o trabalho com a percepção visual, a coordenação e habilidade motoras, a identificação sequencial das formas geométricas, bem como as operações de adição, subtração, multiplicação e divisão. Além disso, o recurso busca estimular o trabalho com as noções de quantidade, por meio de números, gravuras. O recurso oferece muitas atividades gratuitas e algumas pagas.	Adição. Subtração. Multiplicação. Divisão Sequências com formas geométricas. Noções de quantidade.	DMI17,DMI18	Jogo / Exercício e prática.	Inglês / Português.	Didactoons Games SL.	Ver conexão e acesso total à rede/evitar que o dispositivo hiberne/compras no aplicativo/contém anúncios.	56 MB.	5.0 ou superior.	09.00.002.	24/11/2020.	2	Matematica	 
77	Rei da Matemática Jr. Grátis	recursos/img/Mobile/Matematica/2/reidamatematicajr.jpg	https://play.google.com/store/apps/details?id=com.oddrobo.komjfree&hl=pt-BR	O aplicativo "Rei da Matemática Jr. Grátis" estimula o trabalho com a percepção visual relacionada às diferenças de tamanhos e quantidades de objetos e a sequência de números e de formas geométricas. O recurso também trabalha com noções de tempo, operações de adição e de subtração, estrutura do algoritmo e com resolução de problemas.	Adição. Subtração. Noções de quantidade. Tempo. Sequência Numérica. Formas Geométricas.	DMI09,DMI14,DMI17,DMI19	Exercício e prática.	Inglês / Português.	Oddrobo Software AB.	Não constam especificações sobre as permissões de uso.	23 MB.	4.0 ou superior.	1.0.6.	24/11/2020.	2	Matematica	 
78	Math Exercise	recursos/img/Mobile/Matematica/2/exerciciodematematica.jpg	https://play.google.com/store/apps/details?id=com.my.leo.mathp&hl=pt-BR	O aplicativo "Math Exercise” aborda as operações de adição, subtração e multiplicação, de forma simples e intuitiva.	Adição. Subtração. Multiplicação.	DMI17,DMI18	Jogo / Exercício e prática.	Inglês / Português.	Blue Wave.	Ver conexões e acesso total à rede/contém anúncios.	4.3 MB.	3.0 ou superior.	170203.	24/11/2020.	2	Matematica	 
79	Addition and subtraction	recursos/img/Mobile/Matematica/2/additionandsubtraction.jpg	https://play.google.com/store/apps/details?id=pl.jursoft.abcprimarymath&hl=pt-BR	O aplicativo "Addition and subtraction" trabalha com as operações matemáticas de adição e de subtração, em diferentes níveis de dificuldade.	Adição. Subtração.	DMI17	Exercício e prática.	Inglês.	jursoft.	Ver conexões/acesso total à rede e vibração de controle/contém anúncios.	1.8 MB.	4.0 ou superior.	1.0.	24/11/2020.	2	Matematica	 
81	Jogo da Tabuada (Grátis)	recursos/img/Mobile/Matematica/3/jogodatabuada.jpg	https://play.google.com/store/apps/details?id=nl.wissapp.timestables&hl=pt-BR	O aplicativo "Jogo da Tabuada (Grátis)" trabalha com as operações matemáticas, por meio da tabuada de multiplicação e de diferentes níveis de dificuldade.	Multiplicação.	DMI18	Exercício e prática.	Inglês/Português.	WissApp.	Compras no aplicativo/fotos/mídias/arquivos/armazenamento/microfone/contém anúncios.	23 MB.	4.0 ou superior.	3.98-free.	24/11/2020.	3	Matematica	 
82	Tabuada Fácil	recursos/img/Mobile/Matematica/3/tabuadafacil.jpg	https://play.google.com/store/apps/details?id=com.app.msergiofc.tabuadafacil&hl=pt-BR	O aplicativo "Tabuada Fácil" possibilita o estudo da tabuada de multiplicação, em diferentes níveis de dificuldade.	Multiplicação.	DMI18	Exercício e prática.	Português.	Mário S. F. Carvalho.	Fotos/mídias/arquivos/armazenamento/receber dados da Internet/ver conexões de rede/contém anúncios.	Varia de acordo com o dispositivo.	Varia de acordo com o dispositivo.	Varia de acordo com o dispositivo.	24/11/2020.	3	Matematica	 
83	Jogos para 2: Jogo Matemático	recursos/img/Mobile/Matematica/3/jogospara2.jpg	https://play.google.com/store/apps/details?id=com.mathduel2playersgame.mathgame&hl=pt-BR	O aplicativo "Jogos para 2: Jogo Matemático" busca favorecer o desenvolvimento de habilidades como concentração e cálculo mental. Além disso, trabalha com conhecimentos prévios relacionados às operações de adição, subtração, multiplicação e divisão.	Adição. Subtração. Multiplicação. Divisão.	DMI17,DMI18	Jogo/Exercício e prática.	Português.	PeakselGames.	Fotos/mídias/arquivos/armazenamento/receber dados da Internet/ver conexões de rede/contém anúncios/compras no aplicativo.	Varia de acordo com o dispositivo.	Varia de acordo com o dispositivo.	3.7.	24/11/2020.	3	Matematica	 
84	Jogo de Matemática vs Undead	recursos/img/Mobile/Matematica/3/jogodamatematicavsunhead.jpg	https://play.google.com/store/apps/details?id=com.mathvszombies.mathgame&hl=pt-BR	O aplicativo "Jogo de Matemática vs Undead" busca proporcionar o desenvolvimento de habilidades como cálculo mental e agilidade. Além disso, trabalha com conhecimentos prévios relacionados às operações de adição, subtração, multiplicação e divisão.	Adição. Subtração. Multiplicação. Divisão.	DMI17,DMI18	Jogo/Exercício e prática.	Português.	PeakselGames.	Fotos/mídias/arquivos/armazenamento/receber dados da Internet/ver conexões de rede/contém anúncios/compras no aplicativo.	33 MB.	4.1 ou superior.	2.13.	24/11/2020.	3	Matematica	 
85	Jogos de matemática & crianças	recursos/img/Mobile/Matematica/3/jogodamatematicacriancas.jpg	https://play.google.com/store/apps/details?id=com.batoki.kids.toddlers.math.games&hl=pt-BR	O aplicativo "Jogos de matemática & crianças" busca proporcionar o desenvolvimento de algumas habilidades como, por exemplo, o cálculo mental. O recurso também trabalha com conhecimentos prévios relacionados às operações de adição e de subtração.	Adição. Subtração.	DMI17	Jogo/Exercício e prática.	Inglês.	BATOKI - Best Apps for Toddlers and Kids.	Fotos/mídias/arquivos/armazenamento/receber dados da Internet/ver conexões de rede/contém anúncios.	22 MB.	2.3 ou superior.	1.0.1.	24/11/2020.	3	Matematica	 
86	1ª 2ª Série: Jogos de matemática para crianças	recursos/img/Mobile/Matematica/4/matematicabasica.png	https://play.google.com/store/apps/details?id=air.childLearnMath.edugames.vn&hl=pt-BR	O aplicativo "1ª 2ª Série: Jogos de matemática para crianças" apresenta, de forma lúdica, diversos elementos que auxiliam na apropriação de conteúdos da Matemática, tais como adição, subtração, multiplicação, divisão, comparação, frações, formas geométricas e noções de quantidade.	Adição. Subtração. Multiplicação. Divisão. Maior e menor. Frações. Formas geométricas. Noções de quantidade.	DMI03,DMI13,DMI17,DMI18,DMI24	Exercício e prática.	Português.	bonbongame. com.	Ver conexões de rede/permitir recepção Wi-Fi Multicast/acesso total à rede/evitar que o dispositivo hiberne/compras no aplicativo/contém anúncios.	59 MB.	5.0 ou superior.	1.7.3.	24/11/2020.	4	Matematica	 
87	Math Flash Cards	recursos/img/Mobile/Matematica/4/mathflashcards.jpg	https://play.google.com/store/apps/details?id=com.apptestryinteractive.mathflashcards&hl=pt-BR	O aplicativo "Math Flash Cards" busca promover o estudo das operações matemáticas de adição, subtração, multiplicação e divisão, em diferentes níveis de dificuldade.	Adição. Subtração. Multiplicação. Divisão.	DMI17,DMI18	Exercício e prática.	Inglês.	Apptestry.	Receber dados da Internet/ver conexões de rede/acesso total à rede/impedir que o dispositivo adormeça/contém anúncios.	4.4 MB.	4.3 ou superior.	2.3.0.	24/11/2020.	4	Matematica	 
89	Frações equivalentes	recursos/img/Mobile/Matematica/5/fracoesequivalentes.jpg	https://play.google.com/store/apps/details?id=air.fracoesequivalentes&hl=pt_BR	O aplicativo "Frações equivalentes" traz desafios que abordam diferentes formas de estudo das frações equivalentes.	Frações equivalentes.	DMI24	Exercício e prática.	Português.	HypatiaMat.	Fotos/mídias/ arquivos/ armazenamento/acesso total à rede.	15 MB.	4.0 ou superior.	0.1.	25/11/2020.	5	Matematica	 
90	Leia frações	recursos/img/Mobile/Matematica/5/leiafracoes.jpg	https://play.google.com/store/apps/details?id=com.nummolt.fractions.reading&hl=pt_BR	O aplicativo "Leia frações" apresenta de maneira diretiva, diversas formas e abordagens para o estudo das frações, assim como a sua leitura e estruturação.	Frações.	DMI24	Simulação.	Português.	nummolt.	Não constam especificações sobre as permissões de uso.	1.8 MB.	4.0 ou superior.	1.1.4.	25/11/2020.	5	Matematica	 
91	Representar por Frações	recursos/img/Mobile/Matematica/5/representarporfracoes.jpg	https://play.google.com/store/apps/details?id=air.fracoes&hl=pt_BR	O aplicativo "Representar por Frações" apresenta desafios que abordam as diferentes formas de estudo das frações, assim como as formas de representá-las.	Frações.	DMI24	Exercício e prática.	Português.	HypatiaMat.	Fotos/mídias/arquivos/armazenamento/acesso total à rede.	15 MB.	4.0 ou superior.	0.1.	25/11/2020.	5	Matematica	 
93	Enigma matemático com varas	recursos/img/Mobile/Matematica/5/enigmamatematico.jpg	https://play.google.com/store/apps/details?id=air.com.logigames.mathpuzzlewithsticks&hl=pt-BR	O aplicativo "Enigma matemático com varas" busca estimular o estudo de conteúdos matemáticos, tais como adição e subtração, por meio da resolução de enigmas.	Adição. Subtração.	DMI17	Exercício e prática.	Inglês.	LogiGames.	Fotos/mídias/ arquivos/ armazenamento/ informações sobre a conexão Wi-Fi/ver conexões e acesso total à rede.	12 MB.	2.3 ou superior	1.1.8.	25/11/2020.	5	Matematica	 
94	Mestre da Matemática Jogo Educativo e Exercícios	recursos/img/Mobile/Matematica/6/mestredamatematica.jpg	https://play.google.com/store/apps/details?id=pl.paridae.app.android.mathmaster&hl=pt-BR	O aplicativo "Mestre da Matemática Jogo Educativo e Exercícios" trabalha com conteúdos matemáticos como, por exemplo, operações, frações e porcentagem, de modo que o aluno resolva os problemas propostos ao longo do recurso.	Adição. Subtração. Multiplicação. Divisão. Frações. Raiz quadrada. Porcentagem. Logaritmos. Equações lineares. Análise combinatória.	DMII18	Jogo/Exercício e prática.	Português.	Paridae.	Fotos/mídias/arquivos/armazenamento/acesso total à rede/impedir que o dispositivo adormeça/compras no aplicativo/contém anúncios.	17 MB.	4.0.3 ou superior.	1.0.25.	25/11/2020.	6	Matematica	 
95	Operações básicas de matemática	recursos/img/Mobile/Matematica/6/operacoesbasicas.jpg	https://play.google.com/store/apps/details?id=com.edusoftgame.kidsmath&hl=pt-BR	O aplicativo "Operações básicas de matemática" aborda as operações matemáticas de adição, subtração, multiplicação e divisão, a partir de níveis de dificuldade.	Adição. Subtração. Multiplicação. Divisão.	DMII18	Exercício e prática.	Inglês / Turco / Espanhol / Francês / Italiano / Alemão.	Educational Software Games.	Ver conexões e acesso total à rede/contém anúncios.	4.8 MB.	2.3 ou superior.	1.8.1.	25/11/2020.	6	Matematica	 
96	The area of geometric figures	recursos/img/Mobile/Matematica/6/geometricfigures.jpg	https://play.google.com/store/apps/details?id=ru.sotnik.areacalc&hl=pt_BR	O aplicativo "The area of geometric figures" trabalha com as diversas fórmulas relacionadas às figuras geométricas, a partir da relação com as imagens correspondentes.	Figuras geométricas.	DMII13	Animação / Simulação.	Inglês.	SD Ferramentas.	Ver conexões e acesso total à rede/contém anúncios.	1.9 MB.	4.0.3 ou superior.	1.5.	25/11/2020.	6	Matematica	 
97	Jogos de Matemática	recursos/img/Mobile/Matematica/6/jogosdematematica.jpg	https://play.google.com/store/apps/details?id=com.miniklerogreniyor.quiz.kids.math&hl=pt-BR	O aplicativo "Jogos de Matemática" busca estimular o estudo das operações matemáticas de adição, subtração, multiplicação e divisão, bem como conceitos de radiciação e de exponenciação.	Adição. Subtração. Multiplicação. Raiz quadrada. Exponenciação.	DMII18	Exercício e prática.	Português.	Choloepus Apps.	Receber dados da Internet/ver conexões e acesso total à rede/impedir que o dispositivo adormeça/contém anúncios e compras no aplicativo.	3.8 MB.	4.2 ou superior.	36.	25/11/2020.	6	Matematica	 
98	Divisão	recursos/img/Mobile/Matematica/6/Divisao.jpg	https://play.google.com/store/apps/details?id=eu.climent.division&hl=pt-BR	O aplicativo "Divisão" traz exercícios que incluem a operação matemática de divisão.	Divisão.	DMII18	Exercício e prática.	Português.	Antonio Luis Climent Albaladejo.	Ver conexões e acesso total à rede/contém anúncios.	3.0 MB.	4.0.3 ou superior.	Y2017.2.	25/11/2020.	6	Matematica	 
99	Multiplicação	recursos/img/Mobile/Matematica/6/Multiplicacao.jpg	https://play.google.com/store/apps/details?id=eu.climent.multiplication&hl=pt-BR	O aplicativo "Multiplicação" apresenta diferentes exercícios que trabalham a operação matemática de multiplicação.	Multiplicação.	DMII18	Exercício e prática.	Português.	Antonio Luis Climent Albaladejo.	Ver conexões e acesso total à rede/contém anúncios.	3.0 MB.	4.0.3 ou superior.	Y2017.2.	25/11/2020.	6	Matematica	 
100	Potência	recursos/img/Mobile/Matematica/7/potencia.jpg	https://play.google.com/store/apps/details?id=eu.climent.powers&hl=pt_BR	O aplicativo "Potência" busca estimular o estudo das regras de potenciação, a fim de trabalhar com as operações matemáticas de multiplicação e de divisão. Além disso, o recurso trabalha com as frações, com a potência da potência e com a utilização de expoentes negativos.	Potências.	DMI18	Exercício e prática.	Inglês.	Antonio Luis Climent Albaladejo.	Ver conexões e acesso total à rede/contém anúncios.	2.6 MB.	4.0.3 ou superior.	Anthericum.	25/11/2020.	7	Matematica	 
101	Test Angulos	recursos/img/Mobile/Matematica/7/testangulos.jpg	https://play.google.com/store/apps/details?id=appinventor.ai_lsomorante.Test_angulo&hl=pt_BR	O aplicativo "Test Angulos" busca estimular o reconhecimento dos ângulos em figuras geométricas. Dentre eles, podem ser citados os ângulos suplementares, complementares, alternos e internos, alternos e externos. Os ângulos são trabalhados por meio da proposição de problemas.	Ângulos.	DMII06	Exercício e prática.	Espanhol.	Lorenzo Sevilla Ortiz.	Informações sobre a conexão Wi-Fi/ ver conexões, acesso total à rede e vibração de controle.	1.7 MB.	1.6 ou superior.	1.	25/11/2020.	7	Matematica	 
102	Geometria Calculadora	recursos/img/Mobile/Matematica/7/geometriacalculadora.jpg	https://play.google.com/store/apps/details?id=ru.knnv.geometrycalcfree&hl=pt_BR	O aplicativo "Geometria Calculadora" busca estimular o entendimento e a identificação das figuras sólidas, tais como triângulo, quadrado, retângulo, paralelogramo, losango, trapézio, polígono, círculo e elipse.	Figuras sólidas.	DMII12,DMII13,DMII14	Exercício e prática.	Inglês / Português.	ARPAPLUS.	Compras no aplicativo/ ver conexões e acesso total à rede/ impedir que o dispositivo adormeça.	3.8 MB.	4.1 ou superior.	2.8.3.	25/11/2020.	7	Matematica	 
103	Desafio Matemático Grátis	recursos/img/Mobile/Matematica/7/desafiomatematico.jpg	https://play.google.com/store/apps/details?id=com.turtlelabs.DesafioMatematico_Free&hl=pt-BR	O aplicativo "Desafio Matemático Grátis" aborda as operações matemáticas de adição, subtração e multiplicação, a partir de níveis de progressão.	Adição. Subtração. Multiplicação. Divisão.	DMII18	Exercício e prática.	Português/Inglês.	Turtle Labs.	Ver conexões e acesso total à rede/contém anúncios.	25 MB.	4.1 ou superior.	4.0.	25/11/2020.	7	Matematica	 
104	Math Master - Brain Quizzes & Math Puzzles	recursos/img/Mobile/Matematica/7/mathmaster.jpg	https://play.google.com/store/apps/details?id=com.mathmaster&hl=pt-BR	O aplicativo "Math Master - Brain Quizzes & Math Puzzles" trabalha, por meio de testes desafiadores, as operações matemáticas de adição, subtração, multiplicação e divisão, bem como os conceitos de potência, estatística, equações, média mediana e variação, maior e menor, sequenciação e séries.	Adição. Subtração. Multiplicação. Divisão. Potenciação. Estatística. Equações. Média mediana e variação. Maior e menor. Sequenciação e séries.	DMII16,DMII18,DMII19,DMII30,DMII33	Exercício e prática.	Português/Inglês.	Pavans Group Techsoft Pvt. Ltd.	Compras no aplicativo/fotos/mídias/arquivos/armazenamento/histórico do dispositivo e apps/câmera/ver conexões e acesso total à rede/impedir que o dispositivo adormeça.	14 MB.	4.2 ou superior.	3.4.	25/11/2020.	7	Matematica	 
105	Circunferência	recursos/img/Mobile/Matematica/8/circunferencia.jpg	https://play.google.com/store/apps/details?id=com.pjcferreira.circunferencia&hl=pt_BR	O aplicativo "Circunferência" tem como objetivo apresentar as fórmulas relacionadas à circunferência, assim como a aplicação dos seguintes conceitos matemáticos: perímetro, área, diâmetro e raio.	Circunferência.	DMII11	Exercício e prática / Simulação.	Português.	IndieDevPT[AlunosNET] Paulo J C Ferreira.	Não constam especificações sobre as permissões de uso.	241 KB.	2.2 ou superior.	1.0.	27/11/2020.	8	Matematica	 
106	Área, Volumes e Perímetros	recursos/img/Mobile/Matematica/8/areavolumeperimetro.jpg	https://play.google.com/store/apps/details?id=edu.alunosnet.areasvolumesperimetros&hl=pt_BR	O aplicativo "Área, Volumes e Perímetros" busca promover o estudo do cálculo da área, do volume e do perímetro, a partir da relação com as figuras geométricas e as fórmulas correspondentes.	Área. Volume. Perímetro.	DMII12,DMII13,DMII14	Exercício e prática.	Português/Inglês.	IndieDevPT [AlunosNET] Paulo J C Ferreira.	Não constam especificações sobre as permissões de uso.	392 KB.	3.0 ou superior.	1.1.	27/11/2020.	8	Matematica	 
107	Volume, Área e Conversão	recursos/img/Mobile/Matematica/8/volumeareaconversao.jpg	https://play.google.com/store/apps/details?id=com.samyak.avc&hl=pt_BR	O aplicativo "Volume, Área e Conversão" busca auxiliar o aluno durante o cálculo das áreas e dos volumes e, ainda, para os cálculos de conversão de unidades.	Área. Volume.	DMII13,DMII14	Exercício e prática / Simulação.	Inglês.	Samyak Infotech Pvt. Ltd.	Local/fotos/mídia/arquivos/armazenamento/dados da Internet/ver conexões e acesso total à rede/impedir que o dispositivo adormeça/contém anúncios.	2.5 MB.	4.0.3 ou superior.	6.0.	27/11/2020.	8	Matematica	 
109	Casos Notáveis e Fatorização	recursos/img/Mobile/Matematica/8/casosnotaveis.jpg	https://play.google.com/store/apps/details?id=air.queroCNFPv1&hl=pt_BR	O aplicativo "Casos Notáveis e Fatorização" possibilita a consolidação de conhecimentos prévios relacionados aos casos notáveis de multiplicação, além de conhecimentos sobre a fatoração de polinômios.	Fatorização de polinômios.	DMII25	Exercício e prática.	Português.	HypatiaMat.	Fotos/mídias/arquivos/armazenamento/acesso total à rede/contém anúncios.	14 MB.	4.0 ou superior.	6.	27/11/2020.	8	Matematica	 
111	Calculadora Gráfica GeoGebra	recursos/img/Mobile/Matematica/9/geogebra.jpg	https://play.google.com/store/apps/details?id=org.geogebra.android&hl=pt-BR	O aplicativo "Calculadora Gráfica GeoGebra" busca promover o estudo dos gráficos de funções, das equações e das funções.	Equações. Funções. Gráfico de funções.	DMII35	Exercício e prática.	Português.	International GeoGebra Institute.	Fotos/mídias/arquivo/armazenamento/receber dados da Internet/ver conexões de rede/emparelhar com dispositivos Bluetooth/acesso total à rede/impedir que o dispositivo adormeça/contém anúncios.	15 MB.	4.4 ou superior.	5.0.573.0.	27/11/2020.	9	Matematica	 
112	Calculadora Gráfica Mathlab	recursos/img/Mobile/Matematica/9/mathlab.jpg	https://play.google.com/store/apps/details?id=us.mathlab.android&hl=pt-BR	O aplicativo "Calculadora Gráfica Mathlab" apresenta a visualização das funções e suas expressões gráficas.	Equações. Funções.	DMII01,DMII25,DMII26,DMII36	Exercício e prática.	Inglês/Português.	Mathlab Apps, LLC.	Compras no aplicativo / fotos / arquivos / mídias / armazenamento / acesso total à rede impedir que o dispositivo adormeça / contém anúncios.	6.7 MB.	4.1 ou superior.	4.14.159.	27/11/2020.	9	Matematica	 
