item	nome	imagem	link	descricao	tema	descritores	tipo de recurso	idioma	autores	permissoes	tamanho	versão android	versao app	data revisão	ano	disciplina	
25	Produzindo Texto	recursos/img/Mobile/Portugues/3/produzindotexto.jpg	https://play.google.com/store/apps/details?id=air.com.netbil.produzindotexto&hl=pt_BR	O aplicativo “Produzindo Texto” tem como objetivo estimular a criatividade e os conhecimentos textuais dos alunos, a partir da elaboração de textos.	Produção textual.	DPI02,DPI05,DPI07,DPI14,DPII18,DPII19	Ferramenta.	Português.	Netbil Educacional.	Fotos/mídia/arquivos, armazenamento, câmera, outros.	20 MB.	2.2 ou superior.	2.2.	24/11/2020.	3	Portugues	 
26	Jogo das Letras	recursos/img/Mobile/Portugues/3/jogodasletras.jpg	https://play.google.com/store/apps/details?id=br.com.noas.jogodasletras	O aplicativo “Jogo das Letras” explora os conhecimentos sobre os dígrafos e os encontros consonantais da Língua Portuguesa, contribuindo para o aprimoramento da escrita e para a compreensão de regras ortográficas. O recurso trabalha com a formação de palavras, as quais devem ser completadas com os dígrafos ou os encontros consonantais apropriados.	Dígrafos. Encontros consonantais.	DPI03,DPI05,DPII19	Exercício e prática.	Português.	Sistema de Ensino CNEC.	Outros (Conexão de rede, acesso total à rede).	14 MB.	2.3.3 ou superior.	1.0.0.	24/11/2020.	3	Portugues	 
36	Letroca	recursos/img/Mobile/Portugues/4/Letroca.jpg	https://play.google.com/store/apps/details?id=air.com.fanatee.letroca	O aplicativo “Letroca” trabalha com a formação de palavras por meio da combinação de letras sugeridas. O jogo tem como objetivo explorar o conhecimento da língua, bem como ampliar o vocabulário do aluno.	Formação de palavras.	DPI03,DPI04,DPII18	Exercício e prática.	Português.	Fanatee Games.	Fotos/mídia/arquivos, armazenamento, outros.	21 MB.	2.3 ou superior.	3.7.	24/11/2020.	4	Portugues	 
37	Português no Bolso	recursos/img/Mobile/Portugues/5/portuguesnobolso.jpg	https://play.google.com/store/apps/details?id=com.dj.portuguesnobolso&hl=pt	O aplicativo “Português no Bolso” sintetiza, em forma de uma lista de consulta, alguns dos principais problemas de grafia e de concordância, com apenas um clique.	Gramática. Grafia das palavras.	DPI01,DPI03,DPI12,DPI14,DPII19	Guia de Consulta.	Português.	Deodoro Júnior.	Outros (Receber dados da Internet, visualizar conexões de rede, acesso total à rede).	3.1 MB.	4.0 ou superior.	1.2.	24/11/2020.	5	Portugues	 
38	Verbos Portugueses	recursos/img/Mobile/Portugues/5/Verbosportugueses.jpg	https://play.google.com/store/apps/details?id=org.muth.android.conjugator_demo_pt&hl=pt_BR	O aplicativo “Verbos Portugueses” apresenta uma lista de verbos e seus respectivos modos e conjugações, voltados para a compreensão de como utilizá-los em frases, bem como suas morfologias.	Conjugação verbal.	DPII18,DPII19	Guia de Consulta.	Português.	Appicenter LCC.	Outros (Visualizar conexões de rede, acesso total à rede).	714 KB.	4.0 ou superior.	14043.	24/11/2020.	5	Portugues	 
39	Acentuando	recursos/img/Mobile/Portugues/5/Acentuando.jpg	https://play.google.com/store/apps/details?id=br.estacio.ead.AcerteAcento&hl=pt_BR	O aplicativo “Acentuando” aborda as regras de acentuação gráfica de forma lúdica, a partir de um quiz com variações de dificuldade. Ao errar, o aluno é informado sobre o erro, possibilitando uma nova tentativa para a compreensão e para o acerto da pergunta.	Acentuação.	DPII17,DPII19	Exercício e prática.	Português.	Estácio.	Este app não requer permissões especiais para ser executado.	4.7 MB.	4.4 ou superior.	2.0.4.	24/11/2020.	5	Portugues	 
40	Dicionário de Português Dicio - Online e Offline	recursos/img/Mobile/Portugues/5/dicionariodeportugues.jpg	https://play.google.com/store/apps/details?id=com.setegraus.dicio&hl=pt_BR	O aplicativo “Dicionário de Português Dicio - Online e Offline” é uma alternativa rápida e prática de consulta ao dicionário, permitindo não só a busca de palavras desconhecidas, mas, ainda, oferece a opção de embaralhar as letras para formar novas palavras, instigando, no aluno, o senso de investigação.	Significado das palavras.	DPI03,DPII19	Hipermídia.	Português.	7Graus.	Armazenamento, informações sobre a conexão Wi-Fi, fotos/mídia/arquivos, outros.	Varia de acordo com o dispositivo.	4.1 ou superior.	1.13.7.	24/11/2020.	5	Portugues	 
41	Wordalot	recursos/img/Mobile/Portugues/5/Wordalot.jpg	https://play.google.com/store/apps/details?id=se.maginteractive.wordalot	O aplicativo “Wordalot” é um jogo de palavras cruzadas que utiliza imagens para a busca e para a formação das palavras. Com o auxílio de uma gravura, o jogo permite que o aluno associe diversas palavras às imagens correspondentes.	Escrita de palavras.	DPI04,DPI05,DPII18,DPII19	Jogo.	Português.	MAG Interactive.	Fotos/mídia/arquivos, armazenamento, informações sobre a conexão Wi-Fi, outros.	139 MB.	4.1 ou superior.	5.063.	24/11/2020.	5	Portugues	 
42	Palavras Conectadas	recursos/img/Mobile/Portugues/5/palavrasconectadas.jpg	https://play.google.com/store/apps/details?id=com.wordgame.words.connect	O aplicativo “Palavras Conectadas” é um jogo que busca promover o aprimoramento da escrita, a partir da formação de palavras. O recurso disponibiliza um conjunto de letras móveis, as quais devem ser conectadas, com o objetivo de compor diferentes palavras, possibilitando o enriquecimento do vocabulário do aluno.	Formação de palavras.	DPII03,DPII04,DPII19	Jogo.	Português.	ZenLife Games.	Fotos/mídia/arquivos, informações sobre a conexão Wi-Fi, armazenamento,  outros.	151 MB.	4.1 ou superior.	3.118.294.	24/11/2020.	5	Portugues	 
45	Dicionário Sinônimos Offline	recursos/img/Mobile/Portugues/6/sinonimosoff.jpg	https://play.google.com/store/apps/details?id=com.cbcnos.sinonimos	O aplicativo “Dicionário Sinônimos Offline” é um guia completo para consulta de palavras semelhantes (os sinônimos). Ele tem como objetivo ampliar o vocabulário do aluno, bem como melhorar a escrita e a aplicação de novos termos da Língua Portuguesa.	Sinônimos.	DPII01,DPII03,DPII18	Guia de Consulta.	Português.	7Graus.	Armazenamento, informações sobre a conexão Wi-Fi, fotos/mídia/arquivos, outros.	Varia de acordo com o dispositivo.	4.1 ou superior.	2.7.0.	24/11/2020.	6	Portugues	 
46	Michaelis Guia Prático da Nova Ortografia	recursos/img/Mobile/Portugues/6/michaelis.jpg	https://play.google.com/store/apps/details?id=com.aandhsoftware.michaelis.orthography.guide	O aplicativo “Michaelis Guia Prático da Nova Ortografia” é um guia prático para desvendar e aprender sobre as regras vigentes da Língua Portuguesa. Ele traz um aparato simples das normas atuais, ajudando na escrita por meio de exemplos e comparações com as normas anteriores.	Conceituação de palavras.	DPII01,DPII03,DPII18	Guia de Consulta.	Português.	A&H Software Ltda.	Outros (Verificação de licença do Google Play, acesso total à rede, visualizar conexões de rede).	Varia de acordo com o dispositivo.	Varia de acordo com o dispositivo.	Varia de acordo com o dispositivo.	24/11/2020.	6	Portugues	 
48	AnagrApp - Jogo de Palavras para a mente	recursos/img/Mobile/Portugues/6/anagrapp.jpg	https://play.google.com/store/apps/details?id=com.gamsify.anagrappfp	O aplicativo “AnagrApp - Jogo de Palavras para a mente” oferece um jeito criativo de formação de palavras, explorando as diversas formas de combinação e derivações de um mesmo conjunto de letras. Com isso, o recurso busca aprofundar o vocabulário e a descoberta de termos menos usuais da Língua Portuguesa.	Formação de palavras.	DPII03,DPII04,DPII19	Exercício e prática.	Português.	Gamsify.	Identidade, contatos, fotos/mídia/arquivos, armazenamento, outros.	27 MB.	7.0 ou superior.	1.9.0.	24/11/2020.	6	Portugues	 
49	Letras ocultas	recursos/img/Mobile/Portugues/6/letrasocultas.jpg	https://play.google.com/store/apps/details?id=com.sgg.quotes	O aplicativo “Letras ocultas” é um quebra-cabeça de citações famosas e de provérbios, que utiliza a composição de palavras baseada na observação e na associação de imagens para a solução dos enigmas.	Identificação de palavras. Citações. Provérbios.	DPII03,DPII04,DPII05,DPII06,DPII19	Exercício e prática.	Português.	Second Gear Games.	Informações sobre a conexão Wi-Fi, outros.	30 MB.	4.0.3 ou superior.	1.0.5.	24/11/2020.	6	Portugues	 
50	O que sou? Jogo de Mímicas e Charadas com Família	recursos/img/Mobile/Portugues/6/oquesou.jpg	https://play.google.com/store/apps/details?id=com.twominds.HeadsUpCharadas	O aplicativo “O que sou? Jogo de Mímicas e Charadas com Família” é um jogo de adivinhações que estimula o reconhecimento e a significação de palavras, explorando, por exemplo, aspectos como a morfologia.	Identificação de palavras. Morfologia.	DPII03,DPII04	Jogo.	Português.	2Minds Dev.	Local, telefone, fotos/mídia/arquivos, armazenamento, ID do dispositivo e informações da chamada, outros.	5,6 MB.	4.1 ou superior.	1.6.00.	24/11/2020.	6	Portugues	 
51	94%	recursos/img/Mobile/Portugues/7/94_.jpg	https://play.google.com/store/apps/details?id=com.scimob.ninetyfour.percent&hl=pt_BR	O aplicativo “94%” trabalha a descoberta e a formação de palavras, a partir de perguntas sobre o mundo e suas curiosidades. Desse modo, busca estimular os alunos a relacionarem as frases aos vocábulos, muitas vezes, de forma interdisciplinar.	Conhecimento de mundo. Formação de palavras.	DPII03,DPII04,DPII05,DPII19	Jogo.	Português.	Scimob.	Contatos, fotos/mídia/arquivos, ID do dispositivo e informações da chamada, armazenamento, informações sobre a conexão Wi-Fi, local, telefone, identidade, outros.	Varia de acordo com o dispositivo.	Varia de acordo com o dispositivo.	Varia de acordo com o dispositivo.	24/11/2020.	7	Portugues	 
